Date,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Value
23/02/2008,Level 1,AA,All Branches,Pieces,3670
24/02/2008,Level 1,AA,All Branches,Pieces,3955
25/02/2008,Level 1,AA,All Branches,Pieces,4955
26/02/2008,Level 1,AA,All Branches,Pieces,3670
27/02/2008,Level 1,AA,All Branches,Pieces,3626
28/02/2008,Level 1,AA,All Branches,Pieces,1493
29/02/2008,Level 1,AA,All Branches,Pieces,3161
01/03/2008,Level 1,AA,All Branches,Pieces,1878
02/03/2008,Level 1,AA,All Branches,Pieces,3676
03/03/2008,Level 3,AA11,All Branches,Pieces,1180
04/03/2008,Level 3,AA11,All Branches,Pieces,1391
05/03/2008,Level 3,AA11,All Branches,Pieces,2042
06/03/2008,Level 3,AA11,All Branches,Pieces,3017
07/03/2008,Level 3,AA11,All Branches,Pieces,4880
08/03/2008,Level 3,AA11,All Branches,Pieces,4300
09/03/2008,Level 3,AA11,All Branches,Pieces,2204
10/03/2008,Level 3,AA11,All Branches,Pieces,4422
11/03/2008,Level 3,AA11,All Branches,Pieces,4770
12/03/2008,Level 3,AA11,All Branches,Pieces,1117
13/03/2008,Level 3,AA11,All Branches,Pieces,2591
14/03/2008,Level 3,AA11,All Branches,Pieces,2135
15/03/2008,Level 3,AA11,All Branches,Pieces,4267
16/03/2008,Level 3,AA11,All Branches,Pieces,4981
17/03/2008,Level 3,AA11,All Branches,Pieces,1127
18/03/2008,Level 3,AA11,All Branches,Pieces,2384
19/03/2008,Level 3,AA11,All Branches,Pieces,3102
20/03/2008,Level 3,AA11,All Branches,Pieces,1531
21/03/2008,Level 3,AA11,All Branches,Pieces,2785
22/03/2008,Level 3,AA11,All Branches,Pieces,4116
23/03/2008,Level 3,AA11,All Branches,Pieces,3541
24/03/2008,Level 3,AA11,All Branches,Pieces,3264
25/03/2008,Level 3,AA11,All Branches,Pieces,1862
26/03/2008,Level 3,AA11,All Branches,Pieces,3236
27/03/2008,Level 3,AA11,All Branches,Pieces,3042
28/03/2008,Level 3,AA11,All Branches,Pieces,3250
29/03/2008,Level 3,AA11,All Branches,Pieces,4521
30/03/2008,Level 3,AA11,All Branches,Pieces,4503
31/03/2008,Level 3,AA11,All Branches,Pieces,4829
01/04/2008,Level 3,AA11,All Branches,Pieces,4942
02/04/2008,Level 4,AA111,All Branches,Pieces,1495
03/04/2008,Level 4,AA111,All Branches,Pieces,3999
04/04/2008,Level 4,AA111,All Branches,Pieces,1214
05/04/2008,Level 4,AA111,All Branches,Pieces,1691
06/04/2008,Level 4,AA111,All Branches,Pieces,2471
07/04/2008,Level 4,AA111,All Branches,Pieces,2427
08/04/2008,Level 4,AA111,All Branches,Pieces,4849
09/04/2008,Level 4,AA111,All Branches,Pieces,3014
10/04/2008,Level 4,AA111,All Branches,Pieces,2105
11/04/2008,Level 4,AA111,All Branches,Pieces,4435
12/04/2008,Level 4,AA111,All Branches,Pieces,2079
13/04/2008,Level 4,AA111,All Branches,Pieces,1810
14/04/2008,Level 4,AA111,All Branches,Pieces,4538
15/04/2008,Level 4,AA111,All Branches,Pieces,1399
16/04/2008,Level 4,AA111,All Branches,Pieces,4056
17/04/2008,Level 4,AA111,All Branches,Pieces,3347
18/04/2008,Level 4,AA111,All Branches,Pieces,1292
19/04/2008,Level 4,AA111,All Branches,Pieces,4437
20/04/2008,Level 4,AA111,All Branches,Pieces,4927
21/04/2008,Level 4,AA111,All Branches,Pieces,1262
22/04/2008,Level 4,AA111,All Branches,Pieces,3459
23/04/2008,Level 4,AA111,All Branches,Pieces,1364
24/04/2008,Level 4,AA111,All Branches,Pieces,3045
25/04/2008,Level 4,AA111,All Branches,Pieces,2856
26/04/2008,Level 4,AA111,All Branches,Pieces,3897
27/04/2008,Level 4,AA111,All Branches,Pieces,4397
28/04/2008,Level 4,AA111,All Branches,Pieces,1172
29/04/2008,Level 4,AA111,All Branches,Pieces,4389
30/04/2008,Level 4,AA111,All Branches,Pieces,1482
01/05/2008,Level 4,AA111,All Branches,Pieces,4951
02/05/2008,Level 3,AA12,All Branches,Pieces,3758
03/05/2008,Level 3,AA12,All Branches,Pieces,3073
04/05/2008,Level 3,AA12,All Branches,Pieces,3692
05/05/2008,Level 3,AA12,All Branches,Pieces,4597
06/05/2008,Level 3,AA12,All Branches,Pieces,4044
07/05/2008,Level 3,AA12,All Branches,Pieces,4712
08/05/2008,Level 3,AA12,All Branches,Pieces,2689
09/05/2008,Level 3,AA12,All Branches,Pieces,4490
10/05/2008,Level 3,AA12,All Branches,Pieces,2846
11/05/2008,Level 3,AA12,All Branches,Pieces,4652
12/05/2008,Level 3,AA12,All Branches,Pieces,2733
13/05/2008,Level 3,AA12,All Branches,Pieces,2422
14/05/2008,Level 3,AA12,All Branches,Pieces,3466
15/05/2008,Level 3,AA12,All Branches,Pieces,1704
16/05/2008,Level 3,AA12,All Branches,Pieces,1950
17/05/2008,Level 3,AA12,All Branches,Pieces,3446
18/05/2008,Level 3,AA12,All Branches,Pieces,1276
19/05/2008,Level 3,AA12,All Branches,Pieces,4589
20/05/2008,Level 3,AA12,All Branches,Pieces,2112
21/05/2008,Level 3,AA12,All Branches,Pieces,3520
22/05/2008,Level 3,AA12,All Branches,Pieces,3829
23/05/2008,Level 3,AA12,All Branches,Pieces,1882
24/05/2008,Level 3,AA12,All Branches,Pieces,2061
25/05/2008,Level 3,AA12,All Branches,Pieces,2173
26/05/2008,Level 3,AA12,All Branches,Pieces,3782
27/05/2008,Level 3,AA12,All Branches,Pieces,2692
28/05/2008,Level 3,AA12,All Branches,Pieces,3376
29/05/2008,Level 3,AA12,All Branches,Pieces,2572
30/05/2008,Level 3,AA12,All Branches,Pieces,3820
31/05/2008,Level 3,AA12,All Branches,Pieces,4762
01/06/2008,Level 4,AA121,All Branches,Pieces,4773
02/06/2008,Level 4,AA121,All Branches,Pieces,4816
03/06/2008,Level 4,AA121,All Branches,Pieces,1709
04/06/2008,Level 4,AA121,All Branches,Pieces,1765
05/06/2008,Level 4,AA121,All Branches,Pieces,3130
06/06/2008,Level 4,AA121,All Branches,Pieces,4501
07/06/2008,Level 4,AA121,All Branches,Pieces,4591
08/06/2008,Level 4,AA121,All Branches,Pieces,3874
09/06/2008,Level 4,AA121,All Branches,Pieces,4568
10/06/2008,Level 4,AA121,All Branches,Pieces,2924
11/06/2008,Level 4,AA121,All Branches,Pieces,3332
12/06/2008,Level 4,AA121,All Branches,Pieces,2314
13/06/2008,Level 4,AA121,All Branches,Pieces,4237
14/06/2008,Level 4,AA121,All Branches,Pieces,4459
15/06/2008,Level 4,AA121,All Branches,Pieces,4675
16/06/2008,Level 4,AA121,All Branches,Pieces,3119
17/06/2008,Level 4,AA121,All Branches,Pieces,3986
18/06/2008,Level 4,AA121,All Branches,Pieces,4002
19/06/2008,Level 4,AA121,All Branches,Pieces,2643
20/06/2008,Level 4,AA121,All Branches,Pieces,4634
21/06/2008,Level 4,AA121,All Branches,Pieces,3177
22/06/2008,Level 4,AA121,All Branches,Pieces,4981
23/06/2008,Level 4,AA121,All Branches,Pieces,3130
24/06/2008,Level 4,AA121,All Branches,Pieces,3665
25/06/2008,Level 4,AA121,All Branches,Pieces,4834
26/06/2008,Level 4,AA121,All Branches,Pieces,4721
27/06/2008,Level 4,AA121,All Branches,Pieces,1782
28/06/2008,Level 4,AA121,All Branches,Pieces,4683
29/06/2008,Level 4,AA121,All Branches,Pieces,2034
30/06/2008,Level 4,AA121,All Branches,Pieces,3005
01/07/2008,Level 3,AA13,All Branches,Pieces,2158
02/07/2008,Level 3,AA13,All Branches,Pieces,4757
03/07/2008,Level 3,AA13,All Branches,Pieces,4061
04/07/2008,Level 3,AA13,All Branches,Pieces,1974
05/07/2008,Level 3,AA13,All Branches,Pieces,4772
06/07/2008,Level 3,AA13,All Branches,Pieces,4253
07/07/2008,Level 3,AA13,All Branches,Pieces,3763
08/07/2008,Level 3,AA13,All Branches,Pieces,1021
09/07/2008,Level 3,AA13,All Branches,Pieces,4455
10/07/2008,Level 3,AA13,All Branches,Pieces,2143
11/07/2008,Level 3,AA13,All Branches,Pieces,1518
12/07/2008,Level 3,AA13,All Branches,Pieces,2966
13/07/2008,Level 3,AA13,All Branches,Pieces,4990
14/07/2008,Level 3,AA13,All Branches,Pieces,4725
15/07/2008,Level 3,AA13,All Branches,Pieces,4061
16/07/2008,Level 3,AA13,All Branches,Pieces,4460
17/07/2008,Level 3,AA13,All Branches,Pieces,2425
18/07/2008,Level 3,AA13,All Branches,Pieces,4018
19/07/2008,Level 3,AA13,All Branches,Pieces,2566
20/07/2008,Level 3,AA13,All Branches,Pieces,1446
21/07/2008,Level 3,AA13,All Branches,Pieces,4795
22/07/2008,Level 3,AA13,All Branches,Pieces,4193
23/07/2008,Level 3,AA13,All Branches,Pieces,4046
24/07/2008,Level 3,AA13,All Branches,Pieces,2441
25/07/2008,Level 3,AA13,All Branches,Pieces,4705
26/07/2008,Level 3,AA13,All Branches,Pieces,1534
27/07/2008,Level 3,AA13,All Branches,Pieces,3118
28/07/2008,Level 3,AA13,All Branches,Pieces,2592
29/07/2008,Level 3,AA13,All Branches,Pieces,2913
30/07/2008,Level 3,AA13,All Branches,Pieces,1514
31/07/2008,Level 4,AA131,All Branches,Pieces,2305
01/08/2008,Level 4,AA131,All Branches,Pieces,2900
02/08/2008,Level 4,AA131,All Branches,Pieces,2546
03/08/2008,Level 4,AA131,All Branches,Pieces,2444
04/08/2008,Level 4,AA131,All Branches,Pieces,2172
05/08/2008,Level 4,AA131,All Branches,Pieces,2697
06/08/2008,Level 4,AA131,All Branches,Pieces,3464
07/08/2008,Level 4,AA131,All Branches,Pieces,3965
08/08/2008,Level 4,AA131,All Branches,Pieces,1654
09/08/2008,Level 4,AA131,All Branches,Pieces,4202
10/08/2008,Level 4,AA131,All Branches,Pieces,2260
11/08/2008,Level 4,AA131,All Branches,Pieces,2748
12/08/2008,Level 4,AA131,All Branches,Pieces,4841
13/08/2008,Level 4,AA131,All Branches,Pieces,1284
14/08/2008,Level 4,AA131,All Branches,Pieces,1807
15/08/2008,Level 4,AA131,All Branches,Pieces,2598
16/08/2008,Level 4,AA131,All Branches,Pieces,1974
17/08/2008,Level 4,AA131,All Branches,Pieces,3550
18/08/2008,Level 4,AA131,All Branches,Pieces,2539
19/08/2008,Level 4,AA131,All Branches,Pieces,3966
20/08/2008,Level 4,AA131,All Branches,Pieces,4819
21/08/2008,Level 4,AA131,All Branches,Pieces,2066
22/08/2008,Level 4,AA131,All Branches,Pieces,2166
23/08/2008,Level 4,AA131,All Branches,Pieces,3334
24/08/2008,Level 4,AA131,All Branches,Pieces,1755
25/08/2008,Level 4,AA131,All Branches,Pieces,3748
26/08/2008,Level 4,AA131,All Branches,Pieces,3325
27/08/2008,Level 4,AA131,All Branches,Pieces,2749
28/08/2008,Level 4,AA131,All Branches,Pieces,4174
29/08/2008,Level 4,AA131,All Branches,Pieces,4058
30/08/2008,Level 3,AA14,All Branches,Pieces,3256
31/08/2008,Level 3,AA14,All Branches,Pieces,2033
01/09/2008,Level 3,AA14,All Branches,Pieces,3157
02/09/2008,Level 3,AA14,All Branches,Pieces,2373
03/09/2008,Level 3,AA14,All Branches,Pieces,1075
04/09/2008,Level 3,AA14,All Branches,Pieces,4691
05/09/2008,Level 3,AA14,All Branches,Pieces,2312
06/09/2008,Level 3,AA14,All Branches,Pieces,2334
07/09/2008,Level 3,AA14,All Branches,Pieces,3874
08/09/2008,Level 3,AA14,All Branches,Pieces,1403
09/09/2008,Level 3,AA14,All Branches,Pieces,4757
10/09/2008,Level 3,AA14,All Branches,Pieces,4570
11/09/2008,Level 3,AA14,All Branches,Pieces,3132
12/09/2008,Level 3,AA14,All Branches,Pieces,2644
13/09/2008,Level 3,AA14,All Branches,Pieces,1962
14/09/2008,Level 3,AA14,All Branches,Pieces,4579
15/09/2008,Level 3,AA14,All Branches,Pieces,2681
16/09/2008,Level 3,AA14,All Branches,Pieces,4855
17/09/2008,Level 3,AA14,All Branches,Pieces,3939
18/09/2008,Level 3,AA14,All Branches,Pieces,2071
19/09/2008,Level 3,AA14,All Branches,Pieces,3780
20/09/2008,Level 3,AA14,All Branches,Pieces,2062
21/09/2008,Level 3,AA14,All Branches,Pieces,2100
22/09/2008,Level 3,AA14,All Branches,Pieces,4813
23/09/2008,Level 3,AA14,All Branches,Pieces,2016
24/09/2008,Level 3,AA14,All Branches,Pieces,4469
25/09/2008,Level 3,AA14,All Branches,Pieces,1108
26/09/2008,Level 3,AA14,All Branches,Pieces,4382
27/09/2008,Level 3,AA14,All Branches,Pieces,2874
28/09/2008,Level 3,AA14,All Branches,Pieces,1009
29/09/2008,Level 4,AA141,All Branches,Pieces,1149
30/09/2008,Level 4,AA141,All Branches,Pieces,4484
01/10/2008,Level 4,AA141,All Branches,Pieces,2802
02/10/2008,Level 4,AA141,All Branches,Pieces,1041
03/10/2008,Level 4,AA141,All Branches,Pieces,4352
04/10/2008,Level 4,AA141,All Branches,Pieces,2043
05/10/2008,Level 4,AA141,All Branches,Pieces,3254
06/10/2008,Level 4,AA141,All Branches,Pieces,4658
07/10/2008,Level 4,AA141,All Branches,Pieces,4266
08/10/2008,Level 4,AA141,All Branches,Pieces,2897
09/10/2008,Level 4,AA141,All Branches,Pieces,1688
10/10/2008,Level 4,AA141,All Branches,Pieces,4311
11/10/2008,Level 4,AA141,All Branches,Pieces,1866
12/10/2008,Level 4,AA141,All Branches,Pieces,1856
13/10/2008,Level 4,AA141,All Branches,Pieces,1686
14/10/2008,Level 4,AA141,All Branches,Pieces,4593
15/10/2008,Level 4,AA141,All Branches,Pieces,3827
16/10/2008,Level 4,AA141,All Branches,Pieces,4132
17/10/2008,Level 4,AA141,All Branches,Pieces,1002
18/10/2008,Level 4,AA141,All Branches,Pieces,3952
19/10/2008,Level 4,AA141,All Branches,Pieces,2489
20/10/2008,Level 4,AA141,All Branches,Pieces,4318
21/10/2008,Level 4,AA141,All Branches,Pieces,1495
22/10/2008,Level 4,AA141,All Branches,Pieces,4323
23/10/2008,Level 4,AA141,All Branches,Pieces,4181
24/10/2008,Level 4,AA141,All Branches,Pieces,3016
25/10/2008,Level 4,AA141,All Branches,Pieces,4277
26/10/2008,Level 4,AA141,All Branches,Pieces,1675
27/10/2008,Level 4,AA141,All Branches,Pieces,2962
28/10/2008,Level 4,AA141,All Branches,Pieces,1402
29/10/2008,Level 3,AA21,All Branches,Pieces,3944
30/10/2008,Level 3,AA21,All Branches,Pieces,4625
31/10/2008,Level 3,AA21,All Branches,Pieces,3993
01/11/2008,Level 3,AA21,All Branches,Pieces,2126
02/11/2008,Level 3,AA21,All Branches,Pieces,4905
03/11/2008,Level 3,AA21,All Branches,Pieces,4142
04/11/2008,Level 3,AA21,All Branches,Pieces,1879
05/11/2008,Level 3,AA21,All Branches,Pieces,4243
06/11/2008,Level 3,AA21,All Branches,Pieces,2862
07/11/2008,Level 3,AA21,All Branches,Pieces,4254
08/11/2008,Level 3,AA21,All Branches,Pieces,2943
09/11/2008,Level 3,AA21,All Branches,Pieces,1365
10/11/2008,Level 3,AA21,All Branches,Pieces,3726
11/11/2008,Level 3,AA21,All Branches,Pieces,4516
12/11/2008,Level 3,AA21,All Branches,Pieces,4763
13/11/2008,Level 3,AA21,All Branches,Pieces,2291
14/11/2008,Level 3,AA21,All Branches,Pieces,2056
15/11/2008,Level 3,AA21,All Branches,Pieces,2766
16/11/2008,Level 3,AA21,All Branches,Pieces,4734
17/11/2008,Level 3,AA21,All Branches,Pieces,3180
18/11/2008,Level 3,AA21,All Branches,Pieces,3635
19/11/2008,Level 3,AA21,All Branches,Pieces,2295
20/11/2008,Level 3,AA21,All Branches,Pieces,2469
21/11/2008,Level 3,AA21,All Branches,Pieces,4789
22/11/2008,Level 3,AA21,All Branches,Pieces,2113
23/11/2008,Level 3,AA21,All Branches,Pieces,2865
24/11/2008,Level 3,AA21,All Branches,Pieces,2453
25/11/2008,Level 3,AA21,All Branches,Pieces,2975
26/11/2008,Level 3,AA21,All Branches,Pieces,4693
27/11/2008,Level 3,AA21,All Branches,Pieces,1685
28/11/2008,Level 3,AA21,All Branches,Pieces,3893
29/11/2008,Level 4,AA211,All Branches,Pieces,1571
30/11/2008,Level 4,AA211,All Branches,Pieces,4380
01/12/2008,Level 4,AA211,All Branches,Pieces,2011
02/12/2008,Level 4,AA211,All Branches,Pieces,2868
03/12/2008,Level 4,AA211,All Branches,Pieces,3666
04/12/2008,Level 4,AA211,All Branches,Pieces,2980
05/12/2008,Level 4,AA211,All Branches,Pieces,4139
06/12/2008,Level 4,AA211,All Branches,Pieces,1079
07/12/2008,Level 4,AA211,All Branches,Pieces,1130
08/12/2008,Level 4,AA211,All Branches,Pieces,2649
09/12/2008,Level 4,AA211,All Branches,Pieces,1278
10/12/2008,Level 4,AA211,All Branches,Pieces,3014
11/12/2008,Level 4,AA211,All Branches,Pieces,1299
12/12/2008,Level 4,AA211,All Branches,Pieces,1450
13/12/2008,Level 4,AA211,All Branches,Pieces,4601
14/12/2008,Level 4,AA211,All Branches,Pieces,1275
15/12/2008,Level 4,AA211,All Branches,Pieces,1347
16/12/2008,Level 4,AA211,All Branches,Pieces,3341
17/12/2008,Level 4,AA211,All Branches,Pieces,4682
18/12/2008,Level 4,AA211,All Branches,Pieces,3214
19/12/2008,Level 4,AA211,All Branches,Pieces,2652
20/12/2008,Level 4,AA211,All Branches,Pieces,1848
21/12/2008,Level 4,AA211,All Branches,Pieces,1363
22/12/2008,Level 4,AA211,All Branches,Pieces,4628
23/12/2008,Level 4,AA211,All Branches,Pieces,2218
24/12/2008,Level 4,AA211,All Branches,Pieces,3944
25/12/2008,Level 4,AA211,All Branches,Pieces,2296
26/12/2008,Level 4,AA211,All Branches,Pieces,1601
27/12/2008,Level 4,AA211,All Branches,Pieces,1712
28/12/2008,Level 4,AA211,All Branches,Pieces,4828
29/12/2008,Level 4,AA211,All Branches,Pieces,1307
30/12/2008,Level 4,AA211,All Branches,Pieces,2635
31/12/2008,Level 4,AA211,All Branches,Pieces,3837
